scanlinePosition, scanline
0.0478958, 0.00463
0.047996, 0.004522
0.0480962, 0.004454
0.0481964, 0.004378
0.0482966, 0.0043
0.0483968, 0.004238
0.048497, 0.004166
0.0485972, 0.00413
0.0486974, 0.003998
0.0487976, 0.004002
0.0488978, 0.003886
0.048998, 0.003854
0.0490982, 0.00379
0.0491984, 0.003724
0.0492986, 0.003656
0.0493988, 0.003616
0.049499, 0.003532
0.0495992, 0.003542
0.0496994, 0.003436
0.0497996, 0.003422
0.0498998, 0.003358
0.05, 0.003298
